序号,公司名,职位名,薪资,工作地点,经验要求,学历要求,公司规模/行业,涉及交付物,技能要求,涉及领域
12,成都创人所爱科技股份有限公司,医学编辑,18-28k,成都:武侯区:新会展中心(近1号线天府三街地...,经验不限,本科,不需要融资 · 500-999人 · 游戏,文献检索/翻译 | 科普文章 | 审核/校对,医学文献检索,营养学
13,敏捷医疗科技(苏州)有限公司,医学编辑,10-15k·14薪,苏州:吴中区:郭巷,3-5年,本科,B轮 · 100-499人 · 医疗器械,文献综述/解读 | 审核/校对,,医疗器械
14,上海坤为商务咨询有限公司,高级医学编辑,13-17K·13薪,苏州:姑苏区:万达广场(近2号线平泷路东地铁站),3-5年,本科,未融资 · 20-99人 · 咨询,PPT/幻灯 | SCI论文 | 学术会议/报道,英语六级+ | Office办公,
15,北京洞察力科技股份有限公司,医学编辑 (外地可居住办公),10-15K·13薪,北京:朝阳区:三元桥(近地铁站),3-5年,本科,不需要融资 · 100-499人 · 广告/公关,PPT/幻灯 | 文献检索/翻译 | 视频脚本 | 产品宣传资料 | 翻译(中英),英语四级+ | 医学文献检索,肿瘤 | 心血管
16,武汉极客生物科技有限公司,SCI医学编辑,13-26K,苏州:姑苏区:三香路沿线(近1号线西环路地铁站),1-3年,硕士,未融资 · 20-99人 · 生物/制药,SCI论文 | 翻译(中英),SCI写作经验,生物制药
17,苏州康源智研科技有限公司,医学编辑,10-15K·13薪,苏州:吴中区:李公堤(近1号线星湖街地铁站),1-3年,硕士,0-20人 · 医疗服务,PPT/幻灯 | DA(产品提示物) | 公众号/推文,英语六级+ | Office办公,
18,杭州泰格医药科技股份有限公司,医学撰写-苏州 (可居家办公),13-26K,苏州:姑苏区:桃花坞(近2号线平泷路东地铁站),1-3年,硕士,已上市 · 1000-9999人 · 医疗健康,临床方案/报告 | 翻译(中英),GCP知识,临床试验/CRO
19,麦锐克(苏州)生物医学科技有限公司,科研服务专员,7-12K,苏州:虎丘区,1-3年,本科,天使轮 · 20-99人 · 医疗器械,SCI论文 | 审核/校对 | 翻译(中英),,医疗器械
20,上海坤为商务咨询有限公司,医学编辑,7-12k·13薪,苏州:姑苏区:万达广场(近2号线平泷路东地铁站),经验不限,硕士,未融资 · 20-99人 · 咨询,PPT/幻灯 | 公众号/推文 | SCI论文 | 文献检索/翻译 | 学术会议/报道 | 审核/校对,Office办公 | 医学文献检索 | 新媒体运营,
21,爱若维生物科技(苏州)有限公司,医学编辑,8-12K·13薪,苏州:斜塘,1-3年,本科,不需要融资 · 20-99人 · 医疗器械,PPT/幻灯 | 公众号/推文 | 文献检索/翻译 | 学术会议/报道 | 产品宣传资料,Office办公 | 医学文献检索,医疗器械
22,苏州迪美格智能科技有限公司,生物医学编辑,7-8K,苏州:吴江区:松陵,经验不限,硕士,A轮 · 0-20人 · 计算机软件,公众号/推文 | SCI论文,新媒体运营,
23,苏州必宜生物科技有限公司,医学专员,10-15K,苏州:车坊,3-5年,本科,天使轮 · 20-99人 · 生物/制药,临床方案/报告 | 文献检索/翻译 | 数据分析/统计 | 审核/校对 | 翻译(中英),GCP知识 | 医学文献检索,临床试验/CRO | 生物制药
24,苏州奈普格生物科技有限公司,医学编辑,3-8K,苏州:太仓市:太仓,3-5年,硕士,未融资 · 0-20人 · 医疗健康,文献检索/翻译,医学文献检索,肿瘤
25,曼迪匹艾 (南京) 科技服务有限公司,医药类英文学术期刊助理编辑,12-18K,南京:江宁区:东山(近1号线小龙湾地铁站),经验不限,硕士,未融资 · 1000-9999人 · 其他行业,审核/校对 | 翻译(中英),英语六级+ | Office办公,生物制药 | 营养学
26,苏州市吴中区西浦附属学校,内容编辑,12-15K·13薪,苏州:吴中区:越溪,1-3年,硕士,100-499人 .在线教育,公众号/推文 | 产品宣传资料,新媒体运营,
27,浙江国创医疗器械有限公司,新媒体医学编辑,6-10K,苏州:虎丘区,3-5年,本科,不需要融资 · 20-99人 · 医疗器械,公众号/推文 | 数据分析/统计,Office办公 | 新媒体运营,医疗器械
28,杭州艾林德医疗科技有限公司,医学写作,7-12k,苏州:相城区:元和(近2号线徐图港地铁站),1-3年,本科,天使轮 · 0-20人 · 医疗服务,临床方案/报告,GCP知识,临床试验/CRO
29,上海医智汇咨询策划有限公司,医学药学编辑,8-13k,苏州:姑苏区:苏锦(近2号线平泷路东地铁站),3-5年,硕士,未融资 · 0-20人 · 医疗服务,PPT/幻灯 | SCI论文 | 学术会议/报道,Office办公,
30,苏州科睿医疗科技有限公司,医学专员,7-12k,苏州:苏州工业园区:月亮湾(近地铁站),1-3年,本科,未融资 · 20-99人 · 检测/认证/知识...,PPT/幻灯,GCP知识 | Office办公,临床试验/CRO
31,苏州蓝点医疗科技有限公司,医学编辑,7-12K,苏州:虎丘区:狮山(近1号线滨河路地铁站),1-3年,本科,0-20人 · 医疗器械,公众号/推文 | 产品宣传资料,新媒体运营,医疗器械
32,星链计划人力资源 (苏州) 有限...,新媒体运营 (AI 科普。科技等),12-20K·15薪,苏州:吴中区,3-5年,本科,天使轮 · 20-99人 · 人力资源服务,公众号/推文 | 科普文章 | 视频脚本 | 产品宣传资料,新媒体运营 | AI工具,
33,苏州宇测生物科技有限公司,医学项目专员,15-20K,苏州:吴中区:胜浦,1-3年,硕士,A轮 · 100-499人 · 医疗器械,学术会议/报道 | 数据分析/统计 | 标书/课题设计 | 审核/校对 | 翻译(中英),,免疫 | 医疗器械
34,苏州奈普格生物科技有限公司,生物医学编辑,5-10K,苏州:太仓市:太仓,1-3年,硕士,未融资 · 0-20人 · 医疗健康,SCI论文 | 数据分析/统计 | 翻译(中英),SCI写作经验,免疫
35,苏州迪美格智能科技有限公司,医学兼职编辑,1-5K,苏州:虎丘区:独墅湖,经验不限,硕士,A轮 · 0-20人 · 计算机软件,公众号/推文 | SCI论文 | 翻译(中英),,肿瘤
36,北京昭天下教育科技有限公司,医学AI学习官,10-15K,北京:丰台区:花乡(近9号线丰台科技园地铁站),1-3年,硕士,未融资 · 100-499人 · 培训/辅导机构,公众号/推文 | SCI论文 | 科普文章 | 数据分析/统计 | 审核/校对 | 翻译(中英),统计/作图软件 | 新媒体运营 | AI工具,
37,江苏认识智能科技有限公司,医学专员,10-15K,苏州:苏州工业园区:独墅湖(近2号线月亮湾地...,1-3年,本科,20-99人 · 人工智能,临床方案/报告,GCP知识,肿瘤 | 免疫 | 临床试验/CRO
38,优视科技(中国)有限公司,医学编辑,10-13k,杭州:余杭区:仓前(近19号线海创园地铁站),1-3年,本科,已上市 · 1000-9999人 · 互联网,数据分析/统计 | 审核/校对 | 翻译(中英),AI工具,
39,苏州安震生物医药科技有限公司,科研顾问 (生物方向) 苏州,6-8K·13薪,苏州:吴江区:松陵,经验不限,本科,未融资 · 0-20人 · 生物/制药,公众号/推文 | 翻译(中英),英语六级+,肿瘤 | 心血管 | 生物制药
40,北京医灵医广告策划有限公司,医学编辑,5-8k,苏州:吴中区(近1号线南施街地铁站),1-3年,本科,20-99人 · 广告/公关/会展,PPT/幻灯 | 公众号/推文 | 文献检索/翻译 | 学术会议/报道 | 科普文章 | 产品宣传资料 | 文献综述/解读,医学文献检索,
41,杭州善木生物科技有限公司,SCI医学编辑,12-18k·13薪,杭州:上城区:南星(近4/5号线南星桥地铁站),经验不限,学历不限,不需要融资 · 20-99人 · 学术/科研,SCI论文 | 数据分析/统计,SCI写作经验,
42,杭州善木生物科技有限公司,SCI医学编辑,12-18K·13薪,杭州:上城区:南星(近4/5号线南星桥地铁站),经验不限,学历不限,不需要融资 · 20-99人 · 学术/科研,SCI论文 | 数据分析/统计,SCI写作经验,
43,苏州必宜生物科技有限公司,临床医学专员,10-15k,苏州:吴中区,1-3年,硕士,天使轮 · 20-99人 · 生物/制药,PPT/幻灯 | 临床方案/报告 | 审核/校对 | 翻译(中英),GCP知识 | Office办公,临床试验/CRO | 生物制药
44,苏州康源智研科技有限公司,医学编辑专员,6-8K·13薪,苏州:吴中区:李公堤(近1号线星湖街地铁站),经验不限,本科,0-20人 · 医疗服务,PPT/幻灯 | DA(产品提示物) | 公众号/推文,英语六级+ | Office办公,
45,山东赛捷医学,生物医学科研编辑,8-11k,潍坊:奎文区:银座,经验不限,硕士,,SCI论文 | 数据分析/统计 | 标书/课题设计 | 审核/校对 | 翻译(中英),英语四级+ | Office办公,免疫
46,大禹网络,(急招)科普内容编辑,7-12K·13薪,苏州:虎丘区(近2号线独墅湖邻里中心地铁站),1-3年,本科,,公众号/推文 | 科普文章,新媒体运营,
47,上海宜享生物科技有限公司,医学编辑,10-15k·13薪,上海:浦东新区:周浦,经验不限,硕士,0-20人 · 生物/制药,SCI论文 | 翻译(中英),英语六级+ | 统计/作图软件 | SCI写作经验,生物制药
48,医东网络科技发展(上海)有限...,临床医学编辑,8-13k,上海:虹口区:江湾(近3号线大柏树地铁站),1-3年,本科,未融资 · 20-99人 · 互联网,标书/课题设计 | 产品宣传资料 | 审核/校对 | 翻译(中英),Office办公,
49,江苏认识智能科技有限公司,医学写作,10-15K,苏州:苏州工业园区:独墅湖(近2号线月亮湾地...,1-3年,本科,20-99人 · 人工智能,临床方案/报告,GCP知识,临床试验/CRO
50,上海冠讯科技有限公司,医学编辑,6-8K·13薪,苏州:昆山市:花桥,1-3年,本科,不需要融资 · 0-20人 · 医疗服务,PPT/幻灯 | DA(产品提示物) | 公众号/推文 | 文献检索/翻译 | 产品宣传资料 | 翻译(中英),医学文献检索,
51,先健科技 (深圳) 有限公司,临床技术支持 (苏州),7-12K,苏州:虎丘区:通安,1-3年,本科,已上市 · 1000-9999人 · 医疗器械,PPT/幻灯,,心血管 | 医疗器械
52,苏州蓝点医疗科技有限公司,医学或生物医药工程专员,5-10K,苏州:虎丘区:狮山(近1号线滨河路地铁站),1年以上,大专,0-20人 · 医疗器械,公众号/推文,新媒体运营,医疗器械
53,上海冠讯科技有限公司,医学编辑,6-8K·13薪,苏州:昆山市:花桥,1-3年,本科,不需要融资 · 0-20人 · 医疗服务,PPT/幻灯 | 公众号/推文 | 文献检索/翻译,医学文献检索,
54,苏州西陆城网络推广有限公司,医疗文案策划,6-11K,苏州:姑苏区:南门(近2号线石路地铁站),1-3年,本科,0-20人 · 医疗服务,公众号/推文 | 科普文章 | 产品宣传资料,新媒体运营,
55,北京医美讯医药信息咨询有限公司,医学编辑,10-15k,北京:朝阳区:大郊亭(近地铁站),1-3年,硕士,未融资 · 20-99人 · 医疗健康,PPT/幻灯 | DA(产品提示物) | 公众号/推文 | 文献检索/翻译 | 科普文章 | 视频脚本 | 翻译(中英),英语六级+ | Office办公 | 医学文献检索,
56,苏州美图空间科技有限公司,医学编辑,5-6K,苏州:太仓市,在校/应届,本科,未融资 · 0-20人 · 医疗健康,科普文章 | 产品宣传资料,,
57,苏州熠文汇智文化咨询有限公司,AIGC内容运营师,15-30K,苏州:相城区:元和(近2/8号线阳澄湖中路地铁站),经验不限,本科,未融资 · 500-999人 · 培训/辅导机构,公众号/推文 | 数据分析/统计 | 视频脚本,新媒体运营 | AI工具,
